command,intent,rooms,actions
"Sutney kotha ko batti balne garne, please.",single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'turn_on'}]"
Change the kitchen lights to red.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'red'}]"
Adjust the lights to full brightness in the study room.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Please make the lights brighter in the study room.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Can you please dim the bhanxa kotha ko light?,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Change the light color to yellow in the sutney kotha.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'yellow'}]"
Bhaancha ko batti medium brightness ma dim garidinus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Please adjust the brightness to low in the store room.,single_room_control,['store'],"[{'room': 'store', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Sutney kotha ko batti ko rang purple ma set garna paryo.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'purple'}]"
Turn off the lights in the baato.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_off'}]"
Adjust the balcony lights to 40%.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Please dim the bedroom lights.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Change the light color to green in the bedroom.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'green'}]"
Switch on the puja kotha lights.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'turn_on'}]"
Chat ko batti dim garidinuhos.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Please turn off the lights in the baithak.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_off'}]"
Bhaanchaa ko light on gara.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'turn_on'}]"
Baato ko batti balayera rakhnus.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_on'}]"
Could you please turn off the bathroom lights?,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_off'}]"
Baranda ko batti hariyo ma set garidinuhos.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'green'}]"
Switch on the lights in the chat.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'turn_on'}]"
Set the baranda lights to 75% brightness.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.75}]"
Turn on the lights in the store room.,single_room_control,['store'],"[{'room': 'store', 'action': 'turn_on'}]"
Change the baithak kotha lights to orange.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'change_color', 'color': 'orange'}]"
baithak ko light yellow ma change garna milcha?,single_room_control,['living room'],"[{'room': 'living room', 'action': 'change_color', 'color': 'yellow'}]"
Please turn on the corridor lights.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_on'}]"
Baithak kotha ko batti off garidinu na.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_off'}]"
"Turn on the bathroom lights, please.",single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_on'}]"
Please set the light color to red in bhaancha.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'red'}]"
Bhaanchaa ko light ko ujyalo kam gareko thik cha.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Switch on the bardali lights.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'turn_on'}]"
Mandir ko light color green gareko ho?,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'green'}]"
Make the lights bright in the sutney kotha.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Sutney kotha ko lights turn off gardinus.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'turn_off'}]"
Bhaanchaa ko batti ko color green garidinuhos.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'green'}]"
Turn off the store lights.,single_room_control,['store room'],"[{'room': 'store room', 'action': 'turn_off'}]"
Kausi ko batti turn off gardinu.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'turn_off'}]"
Bathroom ma brightness 0.7 ma adjust gara.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': 0.7}]"
Mandir ko batti laal garnus.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'red'}]"
Turn on the lights in the corridor.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_on'}]"
Could you set the light color to green in the mandir?,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'green'}]"
Please turn on the lights in the puja kotha.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'turn_on'}]"
Baithak kotha ko lights off garnus.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_off'}]"
Switch on the baithak ko batti and make brightness high.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_on'}, {'room': 'living room', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Study room ko lights dim gar.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Padhney kotha ko light on garidinuhos.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'turn_on'}]"
Bato ko light dim gara na.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Bhaanchaa ko batti ko rang orange banaunus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'orange'}]"
Switch off the lights in the corridor.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_off'}]"
Set the color of the puja kotha light to red.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'red'}]"
Turn off the bathroom light.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_off'}]"
Bhaanchaa ko lights on garna sakinchha?,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'turn_on'}]"
Chhat ko batti red banaidinuna.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'change_color', 'color': 'red'}]"
Can you turn on the dining lights?,single_room_control,['dining area'],"[{'room': 'dining area', 'action': 'turn_on'}]"
Turn off the bathroom lights.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_off'}]"
Can you switch off the bardali lights?,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'turn_off'}]"
Please turn the bathroom lights to 50%.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Chat ko lights dim gara.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Sutney kotha ko batti ko rang change garera cyan ma garidinus.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'cyan'}]"
Nuhaune thau ko batti full brightness ma rakhnu.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Could you dim the dining area lights to 25%?,single_room_control,['dining area'],"[{'room': 'dining area', 'action': 'adjust_brightness', 'brightness': 0.25}]"
Dining area lights laal banau.,single_room_control,['dining area'],"[{'room': 'dining area', 'action': 'change_color', 'color': 'red'}]"
Bhaanchaa kotha ko batti balne?,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'turn_on'}]"
Please adjust the brightness to low in the store room.,single_room_control,['store room'],"[{'room': 'store room', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Can you set the balcony lights to pink?,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'pink'}]"
Change the puja kotha lights to green.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'green'}]"
Baithak ko batti medium brightness ma set gara.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Adjust the brightness to low in the baithak kotha.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'adjust_brightness', 'brightness': 0.1}]"
Please make the balcony lights red.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'red'}]"
Bhansaa ko lighting adjust garnus to high.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Bhansaa ko batti green ma change garnus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'green'}]"
"Could you turn off the dining room lights, please?",single_room_control,['dining area'],"[{'room': 'dining area', 'action': 'turn_off'}]"
Dim the corridor lights to 20%.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Please adjust the brightness to medium in the store room.,single_room_control,['store room'],"[{'room': 'store room', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Make the balcony lights dim.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Khaana kotha ko lights off gardinus.,single_room_control,['dining area'],"[{'room': 'dining area', 'action': 'turn_off'}]"
Kausi ko batti 50% ma rakhnus.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Turn off the corridor lights.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_off'}]"
Change the color of the chat lights to pink.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'change_color', 'color': 'pink'}]"
Adjust the brightness to high on the terrace.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.9}]"
Adjust the corridor lights to 20%.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Bhaanchaa kotha ko brightness 0.8 ma set garna milcha?,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.8}]"
Change the light in the bedroom to red.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'red'}]"
Bhaanchaa ko batti medium brightness ma adjust garidinus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Store room ko batti balnu.,single_room_control,['store room'],"[{'room': 'store room', 'action': 'turn_on'}]"
Baranda ko lights ko color blue set garnus.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'blue'}]"
Dim the store room lights to 30%.,single_room_control,['store room'],"[{'room': 'store room', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Baranda ma batti balnu parcha.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'turn_on'}]"
Store room ko light on garna sakchau?,single_room_control,['store room'],"[{'room': 'store room', 'action': 'turn_on'}]"
Baranda ko lights yellow ma change garnus.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'yellow'}]"
Bhaancha ko batti green color ma change garidinus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'green'}]"
Dim the baithak kotha lights.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Mandir ko batti peelo banaidinus.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'yellow'}]"
Padhney kotha ko light on garna milcha?,single_room_control,['study room'],"[{'room': 'study room', 'action': 'turn_on'}]"
Baranda ko batti 50% dim garidinuhos.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Bato ko batti off gara.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_off'}]"
Turn the bathroom light to green.,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'change_color', 'color': 'green'}]"
Kausi ko batti off rakhnus.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'turn_off'}]"
Adjust the brightness of the terrace lights to high.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.8}]"
Turn on the puja room lights and set color to white.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'turn_on'}, {'room': 'prayer room', 'action': 'change_color', 'color': 'white'}]"
Change the color to purple in the store and bathroom.,multi_room_control,"['store room', 'bathroom']","[{'room': 'store room', 'action': 'change_color', 'color': 'purple'}, {'room': 'bathroom', 'action': 'change_color', 'color': 'purple'}]"
Study room ko light pink rakhnus ra bardali ko batti off garnus.,multi_room_control,"['study room', 'balcony']","[{'room': 'study room', 'action': 'change_color', 'color': 'pink'}, {'room': 'balcony', 'action': 'turn_off'}]"
Adjust the brightness of lights in the dining and corridor.,multi_room_control,"['dining area', 'corridor']","[{'room': 'dining area', 'action': 'adjust_brightness', 'brightness': '0.5'}, {'room': 'corridor', 'action': 'adjust_brightness', 'brightness': '0.5'}]"
Off the lights in the dining area and bathroom.,multi_room_control,"['dining area', 'bathroom']","[{'room': 'dining area', 'action': 'turn_off'}, {'room': 'bathroom', 'action': 'turn_off'}]"
Sutney kotha ra padhney kotha ko batti change to blue.,multi_room_control,"['bedroom', 'study room']","[{'room': 'bedroom', 'action': 'change_color', 'color': 'blue'}, {'room': 'study room', 'action': 'change_color', 'color': 'blue'}]"
Set the color to green in the kausi and store room.,multi_room_control,"['terrace', 'store room']","[{'room': 'terrace', 'action': 'change_color', 'color': 'green'}, {'room': 'store room', 'action': 'change_color', 'color': 'green'}]"
Mandir ra snaan kotha ko batti change to blue.,multi_room_control,"['prayer room', 'bathroom']","[{'room': 'prayer room', 'action': 'change_color', 'color': 'blue'}, {'room': 'bathroom', 'action': 'change_color', 'color': 'blue'}]"
Store room ra dining ma lights dim garnus.,multi_room_control,"['store room', 'dining area']","[{'room': 'store room', 'action': 'adjust_brightness', 'brightness': '0.5'}, {'room': 'dining area', 'action': 'adjust_brightness', 'brightness': '0.5'}]"
Baithak kothaa ko lights blue color ma garnus ra bhaancha ko lights on garidinus.,multi_room_control,"['living room', 'kitchen']","[{'room': 'living room', 'action': 'change_color', 'color': 'blue'}, {'room': 'kitchen', 'action': 'turn_on'}]"
Snaan kotha ra mandir ko batti change color garnus.,multi_room_control,"['bathroom', 'prayer room']","[{'room': 'bathroom', 'action': 'change_color', 'color': 'red'}, {'room': 'prayer room', 'action': 'change_color', 'color': 'red'}]"
Turn off the lights in the bhancha and dim the baithak lights.,multi_room_control,"['kitchen', 'living room']","[{'room': 'kitchen', 'action': 'turn_off'}, {'room': 'living room', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Turn on the lights in the bedroom and adjust the brightness of the balcony to 0.7.,multi_room_control,"['bedroom', 'balcony']","[{'room': 'bedroom', 'action': 'turn_on'}, {'room': 'balcony', 'action': 'adjust_brightness', 'brightness': '0.7'}]"
Switch off the lights in the dining area and kausi.,multi_room_control,"['dining area', 'terrace']","[{'room': 'dining area', 'action': 'turn_off'}, {'room': 'terrace', 'action': 'turn_off'}]"
Khaana kotha ra puja kotha ko batti dim garnus.,multi_room_control,"['dining area', 'prayer room']","[{'room': 'dining area', 'action': 'adjust_brightness', 'brightness': 0.3}, {'room': 'prayer room', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Can you dim the lights in the bathroom and dining area?,multi_room_control,"['bathroom', 'dining area']","[{'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': '0.5'}, {'room': 'dining area', 'action': 'adjust_brightness', 'brightness': '0.5'}]"
Switch off the lights in the mandir and dining area.,multi_room_control,"['prayer room', 'dining area']","[{'room': 'prayer room', 'action': 'turn_off'}, {'room': 'dining area', 'action': 'turn_off'}]"
Can you brighten the baithak lights and switch off the ones in the kitchen?,multi_room_control,"['living room', 'kitchen']","[{'room': 'living room', 'action': 'adjust_brightness', 'brightness': 1.0}, {'room': 'kitchen', 'action': 'turn_off'}]"
